No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
458,0,104.224304627,30.561395779,505.179,2.29000,
459,0,104.224353822,30.561380903,505.122,2.29500,
460,0,104.224403018,30.561366027,505.097,2.30000,
461,0,104.224452214,30.561351150,505.100,2.30500,
462,0,104.224501409,30.561336274,505.103,2.31000,
463,0,104.224550605,30.561321398,505.106,2.31500,
464,0,104.224599800,30.561306522,505.106,2.32000,
465,0,104.224648996,30.561291646,505.106,2.32500,
466,0,104.224698191,30.561276770,505.106,2.33000,
467,0,104.224747387,30.561261893,505.106,2.33500,
468,0,104.224796582,30.561247017,505.097,2.34000,
469,0,104.224845778,30.561232141,505.102,2.34500,
470,0,104.224894973,30.561217264,505.105,2.35000,
471,0,104.224944169,30.561202388,505.102,2.35500,
472,0,104.224993364,30.561187512,505.100,2.36000,
473,0,104.225042560,30.561172635,505.098,2.36500,
474,0,104.225091755,30.561157759,505.095,2.37000,
475,0,104.225140951,30.561142883,505.093,2.37500,
476,0,104.225190146,30.561128006,505.090,2.38000,
477,0,104.225239341,30.561113130,505.088,2.38500,
478,0,104.225288537,30.561098253,505.086,2.39000,
479,0,104.225337732,30.561083377,505.083,2.39500,
480,0,104.225386927,30.561068501,505.083,2.40000,
481,0,104.225436123,30.561053624,505.083,2.40500,
482,0,104.225485318,30.561038748,505.083,2.41000,
483,0,104.225534513,30.561023871,505.083,2.41500,
484,0,104.225583709,30.561008994,505.079,2.42000,
485,0,104.225632904,30.560994118,505.044,2.42500,
486,0,104.225682099,30.560979241,504.995,2.43000,
487,0,104.225731294,30.560964365,504.939,2.43500,
488,0,104.225780490,30.560949488,504.926,2.44000,
489,0,104.225829685,30.560934611,504.935,2.44500,
490,0,104.225878880,30.560919735,504.959,2.45000,
491,0,104.225928075,30.560904858,504.984,2.45500,
492,0,104.225977270,30.560889981,504.984,2.46000,
493,0,104.226026465,30.560875105,504.984,2.46500,
494,0,104.226075660,30.560860228,504.984,2.47000,
495,0,104.226124856,30.560845351,504.958,2.47500,
496,0,104.226174051,30.560830474,504.919,2.48000,
497,0,104.226223246,30.560815598,504.855,2.48500,
498,0,104.226272441,30.560800721,504.808,2.49000,
499,0,104.226321636,30.560785844,504.788,2.49500,
500,0,104.226370831,30.560770967,504.784,2.50000,
501,0,104.226420026,30.560756090,504.784,2.50500,
502,0,104.226469221,30.560741213,504.784,2.51000,
503,0,104.226518416,30.560726336,504.784,2.51500,
504,0,104.226567611,30.560711460,504.784,2.52000,
505,0,104.226616806,30.560696583,504.784,2.52500,
506,0,104.226666001,30.560681706,504.784,2.53000,
507,0,104.226715196,30.560666829,504.784,2.53500,
508,0,104.226764391,30.560651952,504.784,2.54000,
509,0,104.226813585,30.560637075,504.823,2.54500,
510,0,104.226862780,30.560622198,504.889,2.55000,
511,0,104.226911975,30.560607321,504.938,2.55500,
512,0,104.226961170,30.560592443,504.984,2.56000,
513,0,104.227010365,30.560577566,504.984,2.56500,
514,0,104.227059560,30.560562689,504.984,2.57000,
515,0,104.227108754,30.560547812,504.984,2.57500,
516,0,104.227157949,30.560532935,505.007,2.58000,
517,0,104.227207144,30.560518058,505.040,2.58500,
518,0,104.227256339,30.560503181,505.073,2.59000,
519,0,104.227305534,30.560488303,505.099,2.59500,
520,0,104.227354728,30.560473426,505.099,2.60000,
521,0,104.227403923,30.560458549,505.099,2.60500,
522,0,104.227453118,30.560443672,505.099,2.61000,
523,0,104.227502312,30.560428794,505.057,2.61500,
524,0,104.227551507,30.560413917,505.000,2.62000,
525,0,104.227600702,30.560399040,504.943,2.62500,
526,0,104.227649896,30.560384162,504.899,2.63000,
527,0,104.227699091,30.560369285,504.899,2.63500,
528,0,104.227748286,30.560354408,504.899,2.64000,
529,0,104.227797480,30.560339530,504.899,2.64500,
530,0,104.227846675,30.560324653,504.952,2.65000,
531,0,104.227895869,30.560309776,505.019,2.65500,
